X,Y,OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear
-122.36564059592,48.2402736716183,1,2021/12/31 00:00:00+00,532,532,,,4.26000022888184,19000,,,,Bothways,"After Milepost 4.25 A: RIGHT INTERSECTION 98TH AVE NW-LEQUE RD,  LEFT INTERSECTION 98TH DR NW",{9B3865D4-8261-4196-A946-13A1955B8AF5},2021
-122.253938439398,47.2983196066926,2,2021/12/31 00:00:00+00,167Q101469,167,Q1,01469,0.200000002980232,3700,,,,Northbound,On Q1 RAMP (15TH ST SW TO SR 167 NB) After RIGHT ON RAMP Q201469,{0D9D296A-1DFD-4439-9EEA-B3584A94167F},2021
-118.38759546773,46.0275722922792,3,2021/12/31 00:00:00+00,125,125,,,1.88999998569489,16000,,,,Bothways,After Milepost 1.88 A: LEFT INTERSECTION COLLEGE AVE,{5A643190-D5CC-4A33-8322-661CEBA58B7F},2021
-122.541535198431,46.937835814305,4,2021/12/31 00:00:00+00,702,702,,,0.589999973773956,8700,4.44000005722046,2.13000011444092,0.310000002384186,Bothways,After Milepost 0.58 A: RIGHT INTERSECTION HARTS LAKE RD S,{1F772D26-2ECC-4503-9A93-365F86B75653},2021
-122.333841347338,47.5454491368052,5,2021/12/31 00:00:00+00,099S102690,099,S1,02690,0.129999995231628,15000,,,,Southbound,On S1 RAMP (E MARGNL WAY TO SR 99 SB) After RIGHT WYE CONNECTION E MARGINAL WAY,{0E0F487B-F425-4C64-BF26-5ECA88B40456},2021
-122.489745021617,48.7828430099285,6,2021/12/31 00:00:00+00,005R125651,005,R1,25651,0.119999997317791,2800,,,,Southbound,On R1 RAMP (SR 5 SB TO FD25621) After LEFT INTERSECTION SR 5 SB,{E88FB1DD-A9B1-4349-A0BE-0218F253D23B},2021
-122.26201300922,47.8316237037037,7,2021/12/31 00:00:00+00,005,005,,,182.610000610352,130000,,,,Bothways,At Milepost 182.63 A: BOTHWAYS UNDERCROSSING SR 405 NB,{FD3067E2-1CE7-48CD-BC6C-417DF74E6816},2021
-122.056124966725,47.3887857490129,8,2021/12/31 00:00:00+00,018,018,,,15.6700000762939,38000,,,,Bothways,Before Milepost 15.15 A: LEFT ON RAMP SE 231ST ST,{5E794078-E441-4EFA-A591-2A82F2E3CA64},2021
-117.436201643996,47.7154408383563,9,2021/12/31 00:00:00+00,291,291,,,1.16999995708466,28000,,,,Bothways,Before Milepost 1.18 A: BOTHWAYS INTERSECTION ASH ST,{157A311B-492D-4311-9DDA-2D8845B428A1},2021
-118.935753884256,46.1383395684478,10,2021/12/31 00:00:00+00,012,012,,,298.850006103516,12000,,,,Bothways,After Milepost 301.62 A: LEFT WYE CONNECTION DODD-IOWA BEEF RD,{67E16BF7-C9EA-43F9-A2E8-9973DBDD0E70},2021
-122.793741931768,47.4753588331747,11,2021/12/31 00:00:00+00,003,003,,,28.6499996185303,18000,4.1399998664856,1.53999996185303,0.0700000002980232,Bothways,At Milepost 28.68 A: PERMANENT TRAFFIC RECORDER R089,{6D711D44-B03D-46E1-84B3-B4256C315C4A},2021
-119.618269259545,46.8938857498698,12,2021/12/31 00:00:00+00,026,026,,,18.2199993133545,4400,6.42000007629395,14.6499996185303,5.32000017166138,Bothways,After Milepost 18.21 A: BOTHWAYS INTERSECTION F SW,{48BFAE5B-E523-42DE-AD13-1B83A461E8A3},2021
-122.468707038935,48.7332316162623,13,2021/12/31 00:00:00+00,005R125232,005,R1,25232,0.170000001788139,6900,,,,Southbound,On R1 RAMP (SR 5 SB TO BYRON ST) After LEFT INTERSECTION SR 5 SB,{F90C8FE5-D72E-4BC1-ADF6-2BBD6D9D9D73},2021
-122.278933536884,47.2023487215985,14,2021/12/31 00:00:00+00,167,167,,,7.21999979019165,28000,,,,Bothways,At Milepost 5.98 A: BOTHWAYS UNDERCROSSING SR 512,{3969EEC5-03B4-4DBD-9D24-EA9AF1357FD2},2021
-121.884496462648,47.5047419895391,15,2021/12/31 00:00:00+00,018,018,,,28.1200008392334,25000,4.65999984741211,11.3100004196167,0.800000011920929,Bothways,At Milepost 27.62 A: PERMANENT TRAFFIC RECORDER S838,{EF7B130E-EA5D-4D75-AF6F-B6348B9546C7},2021
-119.985455454551,46.9399280280352,16,2021/12/31 00:00:00+00,090,090,,,134.910003662109,18000,4.8600001335144,18.9500007629395,3.9300000667572,Bothways,"After Milepost 136.62 A: RIGHT ON RAMP HUNTZINGER RD, PERMANENT TRAFFIC RECORDER R042",{F07E00F4-B25B-487F-9F82-121E9EF270A6},2021
-117.578531114885,47.8151988441266,17,2021/12/31 00:00:00+00,291,291,,,13.8299999237061,6100,3.63000011444092,0.660000026226044,0,Bothways,After Milepost 13.82 A: LEFT INTERSECTION SUNCREST DR,{B1AF3C58-EF41-4A2A-A886-648AE481C6CA},2021
-121.480381541978,47.3958028491636,18,2021/12/31 00:00:00+00,090,090,,,46.0900001525879,37000,,,,Bothways,"At Milepost 47.71 A: BOTHWAYS UNDERCROSSING TINKHAM RD, PERMANENT TRAFFIC RECORDER S901",{E6E8EB93-29D6-4088-A5A8-EC026B0CBC8B},2021
