X,Y,amenity,name,brand,addr:housenumber,addr:street,addr:postcode,addr:city,phone,opening_hours,website,operator,fuel:diesel,addr:state,name:en,brand:wikidata,brand:wikipedia,addr:country,building,shop,fuel:octane_87,fuel:biodiesel,access,fuel:e10,fuel:gasoline,fuel:octane_92,is_in,atm,car_wash,fuel:octane_91,membership,fuel:lpg,fuel:octane_89,fuel:octane_95,wheelchair
-122.3298055,48.3937602975452,fuel,24 Hour Express Fuel,,,,,,,,,,,,24 Hour Express Fuel,,,,,,,,,,,,,,,,,,,,
-120.916225,47.1917122975452,fuel,76,76,1001,East 1st Street,98922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3575768,47.2387038975452,fuel,76,76,2002,54th Avenue E,98424-1904,Fife,,,,,,WA,,,,,roof,,,,,,,,"Fife; Washington; USA",,,,,,,,
-122.2913239,48.4352268975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
-120.014523,47.8396080975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0973429,47.1395415975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5046745,47.2347702975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0365967,47.5442952975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3241049,47.6060395975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1148925,47.6716835975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2998584,47.9224274975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3739625,48.2412269975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3318182,48.3405951975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3410856,48.3408742975452,fuel,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-119.3490955,46.2875508975452,fuel,76,Union 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
