X,Y,tourism,name,shop,man_made,sport,addr:street,website,addr:housenumber,addr:postcode,addr:city,historic,wikidata,phone,opening_hours,waterway,addr:state,wikipedia,name:en,description,height,alt_name,natural,wheelchair,amenity,ele,email,level,operator,ship:type
-119.1854199,46.1790510975452,attraction,9/11 WTC Memorial Kennewick,,,,,,,,,,,,,,,,9/11 WTC Memorial Kennewick,,,,,,,,,,,
-122.1157481,48.0089434975452,attraction,Abby Lola Bertain Memorial Wishing Well,,,,,,,,,monument,,,,,,,,,,,,,,,,,,
-121.6755819,47.4396492975452,attraction,Actual Cave,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.1233593,47.7308221975452,attraction,Adams Bench Winery,wine,winery,,160th Place Northeast,,14360,98072,Woodinville,,,,,,,,,,,,,,,,,,,
-123.50043,48.1027373975452,attraction,Adventures Through Kayaking,,,,Olympic Highway,https://www.atkayaking.com,2358,98363,,,,,,,,,,,,,,,,,,,,
-122.1405161,47.7320061975452,attraction,Airfield Estates,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.6885644,48.2210095975452,attraction,Alexander Blockhouse,,,,,,,,,building,,,,,WA,,,,,,,,,10,,,,
-122.1417301,47.7330433975452,attraction,Alexandria Nicole Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1420337,47.7317047975452,attraction,aMaurice Cellars,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1417536,47.7330917975452,attraction,Amavi Cellars,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6754593,47.4399690975452,attraction,Amazonia,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-123.0211204,48.4641431975452,attraction,American Camp,,,,,,,,,fort,,,,,,,,,,Camp San Juan Island,,,,,,,,
-122.683944,48.4933141975452,attraction,Anacortes Kayak Tours,,,,Skyline Way,https://www.anacorteskayaktours.com/,2009,98221,,,,3605881117,Mo-Su 08:00-20:00,,,,,,,,,,,,info@anacorteskayaktours.con,,,
-117.1313653,46.1371238975452,attraction,Anatone population sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5936589,48.0616354975452,attraction,Ancient Cedar,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.9058125,48.0021981975452,attraction,Ancient Groves,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.568739,47.1990168975452,attraction,An Erratic Past,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.4690428,47.5213254975452,attraction,Aplets and Cotlets,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.3253631,47.4701415975452,attraction,Apple Visitor Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.42435,47.2795666975452,attraction,B-24 Bomber Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1516944,47.7692979975452,attraction,Barrage Cellars,wine,,,,,,,,,,,Sa-Su 13:00-17:00,,,,,,,,,,,,,,,
-122.6265849,48.3969605975452,attraction,Beachcomber Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.0559418,48.9992899975452,attraction,Bebe Home,,,,Province Road,,1815,98281,,,,,,,,,,,,,,,,,,,,
-124.3942689,47.9367437975452,attraction,Bella's Truck (Twighlight),,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7677993,46.0881444975452,attraction,Berry Fields Interpretive Site,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1337152,47.7190820975452,attraction,Betz Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4601307,47.4230789975452,attraction,Bicycle Tree,,,,,,,,,,,,,,,,,,,,tree,,,,,,,
-121.5534279,46.7622199975452,attraction,Big Cedar,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.8890246,47.4837794975452,attraction,Big Cedar,,,,,,,,,,,,,,,,,,,,,,,,,,,
-124.3919323,47.6749489975452,attraction,Big Cedar Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9923484,47.2874169975452,attraction,Black Diamond Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5185923,47.1865765975452,attraction,Bradley BlockHouse & Flett House,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1412255,47.7314587975452,attraction,Brian Carter Cellars,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0453014,47.1033387975452,attraction,Caboose,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4016357,45.5983714975452,attraction,Camas Potholes,,,,,,,,,,Q5024996,,,,,en:Camas Potholes,,,,,,,,,,,,
-123.3122849,47.3382087975452,attraction,Camp Govey,,,,,,,,,ruins,,,,,,,,,,,,,,,,,,
-122.4838118,47.1309153975452,attraction,Canadian Vickers SA-10A Catalina,,,,,,,,,aircraft,,,,,,,,,,,,,,,,,,
-121.5367657,47.8052815975452,attraction,Canyon Falls,,,,,,,,,,Q14713605,,,waterfall,,en:Canyon Falls (Washington),,,,,,,,,,,,
-122.0397531,47.4093760975452,attraction,Cedar Lodge Events Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6815667,47.4379215975452,attraction,Chainsaw Wall,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.1394636,47.7309051975452,attraction,Challenger Ridge Winery,wine,winery,,Woodinville-Redmond Road Northeast,,14356,98052,Redmond,,,,,,,,,,,,,,,,,,,
-122.140648,47.7321575975452,attraction,Chancer Reach,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5301487,47.1847922975452,attraction,Chauncey & Johanna Griggs House,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6759497,47.4397064975452,attraction,Club Paradiso,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-117.3654423,46.8780096975452,attraction,Codger Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.7936395,47.4971879975452,attraction,Colonel Bob Peak Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1524727,47.7343394975452,attraction,Columbia Winery,wine,winery,,Northeast 145th Street,,14030,,,,,,"Sa-Th 11:00-18:00; Fr 11:00-19:00",,,,,,,,,,,,,,,
-122.333578,47.6005857975452,attraction,Comedy Underground,,,,,http://www.comedyunderground.com,,,,,,,,,,,,,,,,,,,,,,
-122.6113619,48.5135912975452,attraction,Crown Yacht Charters,,,,,,,,,,,,,,,,Crown Yacht Charters,,,,,,,,,,,
