X,Y,amenity,name,addr:housenumber,addr:street,addr:city,addr:postcode,website,addr:state,phone,wikidata,wheelchair,description,operator,studio,name:en,opening_hours,artist_name,tourism,artwork_type,ele,date,email,level,location,media,project,sac_id,screen,toilets:wheelchair,addr:unit,alt_name,theatre:type,wikipedia
-122.31667,47.6157219975452,arts_centre,12th Ave Arts,1620,12th Avenue,Seattle,98122,http://12avearts.org/,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3300625,47.6014352975452,arts_centre,4Culture,101,Prefontaine Place South,Seattle,98104,https://www.4culture.org/,WA,206-296-7580,,,,,,,,,,,,,,,,,,,,,,,,
-122.3117436,47.6560881975452,arts_centre,Allen Center for the Visual Arts,,,,,,WA,,,,,,,,,,,,41,,,,,,,,,,,,,
-122.3529862,47.6227643975452,arts_centre,A/NT Gallery,305,Harrison Street,Seattle,98109,https://www.antgallery.org/,,+1 206-233-0680,,,,,,,12:00-20:00,,,,,,info@antgallery.org,,,,,,,,,Art/Not Terminal Gallery,,
-122.3299134,47.5983010975452,arts_centre,Art at King Street Station,,,,,,,,,yes,,http://seattle.gov/arts,,,Tu-Sa 10am-6pm and 1st Thursday until 8pm,,,,,,,,,,,,,yes,,,,
-122.2964646,47.1841682975452,arts_centre,Artists in Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3555094,47.6841406975452,arts_centre,Avanti Art & Design,7601,Greenwood Avenue North,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3738217,47.6711719975452,arts_centre,Blowing Sands,5805,14th Avenue Northwest,Seattle,98107,http://www.blowingsands.com/,WA,,,,,,,,,,,,,,,,,,,,,,,,,
-122.338458,47.4661809975452,arts_centre,Burien Dance Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2062331,47.6769421975452,arts_centre,Canvas,140,Central Way,Kirkland,98033,,WA,,,,,,,,,,,,,,,,,,,,,,,,,
